,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
86,Nanortalik,GL,2022-07-19 02:31:37,60.1432,-45.2371,46.62,80,82,9.8,broken clouds
87,Mitsamiouli,KM,2022-07-19 02:31:37,-11.3847,43.2844,75.88,69,8,12.21,clear sky
88,Sibu,MY,2022-07-19 02:31:37,2.3,111.8167,84.51,74,40,3.44,scattered clouds
89,Vaini,TO,2022-07-19 02:31:38,-21.2,-175.2,78.96,83,40,13.8,scattered clouds
90,Hermanus,ZA,2022-07-19 02:32:38,-34.4187,19.2345,52.81,80,99,6.11,overcast clouds
91,Channel-Port Aux Basques,CA,2022-07-19 02:32:39,47.5702,-59.1367,63.3,94,100,2.06,overcast clouds
92,Belmonte,BR,2022-07-19 02:32:39,-15.8631,-38.8828,72.18,83,67,7.63,broken clouds
93,Kaitangata,NZ,2022-07-19 02:32:40,-46.2817,169.8464,45.16,86,100,8.03,light rain
94,Novopavlovka,RU,2022-07-19 02:32:40,51.2172,109.2091,87.4,26,90,6.31,overcast clouds
95,Ossora,RU,2022-07-19 02:32:41,59.2353,163.0719,64.13,78,98,10.6,overcast clouds
96,Cidreira,BR,2022-07-19 02:32:41,-30.1811,-50.2056,54.27,92,5,5.01,clear sky
97,Namibe,AO,2022-07-19 02:32:41,-15.1961,12.1522,64.27,84,0,3.98,clear sky
98,Pevek,RU,2022-07-19 02:31:48,69.7008,170.3133,33.91,92,97,5.75,overcast clouds
99,Langsa,ID,2022-07-19 02:32:42,4.4683,97.9683,79.0,92,100,2.62,moderate rain
100,Georgetown,MY,2022-07-19 02:30:10,5.4112,100.3354,80.89,89,20,4.61,few clouds
101,Pacific Grove,US,2022-07-19 02:32:43,36.6177,-121.9166,67.68,81,0,8.05,clear sky
102,Victoria,HK,2022-07-19 02:31:46,22.2855,114.1577,89.96,79,100,11.01,overcast clouds
103,Lasa,IT,2022-07-19 02:32:43,46.6166,10.7002,63.36,85,18,0.87,few clouds
104,Ichinohe,JP,2022-07-19 02:32:43,40.2069,141.3017,72.57,91,100,1.54,overcast clouds
105,San Patricio,US,2022-07-19 02:32:44,28.017,-97.5169,85.84,76,11,12.28,few clouds
106,Tigil,RU,2022-07-19 02:30:18,57.8,158.6667,73.83,61,18,9.28,few clouds
107,Aklavik,CA,2022-07-19 02:32:45,68.2191,-135.0107,57.72,94,100,1.34,moderate rain
108,Sao Felix Do Xingu,BR,2022-07-19 02:32:45,-6.6447,-51.995,71.51,58,22,1.25,few clouds
109,Novikovo,RU,2022-07-19 02:32:45,51.1537,37.8879,54.3,88,0,5.93,clear sky
110,Sobolevo,RU,2022-07-19 02:32:46,54.4299,31.8996,50.97,92,86,4.38,overcast clouds
111,Aksarka,RU,2022-07-19 02:32:46,66.5606,67.7975,66.63,54,74,8.14,broken clouds
112,Marsabit,KE,2022-07-19 02:32:45,2.3284,37.9899,58.35,78,98,20.36,overcast clouds
113,Paso De Los Toros,UY,2022-07-19 02:32:47,-32.8167,-56.5167,45.72,83,38,1.72,scattered clouds
114,Nelson Bay,AU,2022-07-19 02:30:21,-32.7167,152.15,57.99,98,99,8.01,light rain
115,Angoram,PG,2022-07-19 02:32:47,-4.0625,144.0661,82.87,83,70,2.82,broken clouds
116,Iqaluit,CA,2022-07-19 02:30:13,63.7506,-68.5145,38.93,93,75,14.97,broken clouds
117,Sakakah,SA,2022-07-19 02:32:48,29.9697,40.2064,85.57,19,0,8.63,clear sky
118,Verkhnyaya Inta,RU,2022-07-19 02:32:48,65.9811,60.3094,70.81,49,4,6.17,clear sky
119,Conchal,BR,2022-07-19 02:32:49,-22.3303,-47.1725,68.16,87,85,6.69,overcast clouds
120,Kurilsk,RU,2022-07-19 02:32:49,45.2333,147.8833,61.39,81,47,7.94,scattered clouds
121,Shangrao,CN,2022-07-19 02:32:49,28.4532,117.9686,87.85,72,100,4.03,overcast clouds
122,Bethel,US,2022-07-19 02:32:50,41.3712,-73.414,75.36,92,100,4.61,mist
123,Cape Town,ZA,2022-07-19 02:32:50,-33.9258,18.4232,55.9,79,20,11.5,few clouds
124,Esperance,AU,2022-07-19 02:31:13,-33.8667,121.9,59.02,74,5,6.73,clear sky
125,Chute-Aux-Outardes,CA,2022-07-19 02:32:51,49.1168,-68.399,58.98,88,0,5.75,clear sky
126,Cabo San Lucas,MX,2022-07-19 02:29:41,22.8909,-109.9124,87.62,63,20,3.44,few clouds
127,Carnarvon,AU,2022-07-19 02:32:52,-24.8667,113.6333,69.57,43,0,11.16,clear sky
128,Banswara,IN,2022-07-19 02:32:52,23.55,74.45,81.27,84,63,12.95,broken clouds
129,Zavetnoye,RU,2022-07-19 02:32:53,47.1194,43.8903,68.83,44,63,10.54,broken clouds
130,Barcelona,ES,2022-07-19 02:28:43,41.3888,2.159,77.83,89,20,2.3,few clouds
131,Tuatapere,NZ,2022-07-19 02:32:45,-46.1333,167.6833,45.86,85,100,7.67,overcast clouds
132,Torbay,CA,2022-07-19 02:32:53,47.6666,-52.7314,64.38,86,100,19.57,overcast clouds
133,Coquimbo,CL,2022-07-19 02:29:18,-29.9533,-71.3436,53.33,87,0,2.3,clear sky
134,Tanete,ID,2022-07-19 02:32:54,-3.9443,119.7848,84.99,66,96,9.26,overcast clouds
135,Cayenne,GF,2022-07-19 02:32:13,4.9333,-52.3333,76.08,1,99,2.3,overcast clouds
136,Cherskiy,RU,2022-07-19 02:33:14,68.75,161.3,53.33,51,68,23.13,broken clouds
137,Hawalli,KW,2022-07-19 02:33:55,29.2833,47.9972,98.69,33,0,12.66,clear sky
138,Klaksvik,FO,2022-07-19 02:33:55,62.2266,-6.589,52.72,92,93,16.2,overcast clouds
139,Chuy,UY,2022-07-19 02:33:55,-33.6971,-53.4616,45.48,90,86,2.95,overcast clouds
140,Jamestown,US,2022-07-19 02:33:56,42.097,-79.2353,71.19,91,20,10.36,few clouds
141,Ambunti,PG,2022-07-19 02:33:56,-4.2365,142.8448,83.89,78,91,2.71,overcast clouds
142,Provideniya,RU,2022-07-19 02:33:57,64.3833,-173.3,48.36,66,75,13.42,broken clouds
143,Norman Wells,CA,2022-07-19 02:32:22,65.282,-126.8329,66.24,72,75,13.8,broken clouds
144,Fortuna,US,2022-07-19 02:30:09,40.5982,-124.1573,64.85,74,5,1.99,clear sky
145,Bambous Virieux,MU,2022-07-19 02:33:57,-20.3428,57.7575,68.25,73,40,17.27,light rain
146,Amasia,TR,2022-07-19 02:33:58,40.6533,35.8331,64.13,84,100,5.37,overcast clouds
147,Antofagasta,CL,2022-07-19 02:31:59,-23.65,-70.4,54.68,76,21,4.23,few clouds
148,Port Alfred,ZA,2022-07-19 02:33:58,-33.5906,26.891,62.46,59,23,4.83,few clouds
149,North Battleford,CA,2022-07-19 02:33:59,52.7834,-108.2847,68.09,73,100,11.5,overcast clouds
150,Havre-Saint-Pierre,CA,2022-07-19 02:33:59,50.2334,-63.5986,55.76,94,0,4.61,clear sky
151,Kodiak,US,2022-07-19 02:34:00,57.79,-152.4072,60.31,63,0,5.75,clear sky
152,Yumen,CN,2022-07-19 02:34:00,40.2833,97.2,80.46,22,10,8.9,clear sky
153,Axim,GH,2022-07-19 02:34:01,4.8699,-2.2405,74.77,78,98,8.84,overcast clouds
154,Sydney,AU,2022-07-19 02:33:29,-33.8679,151.2073,58.33,72,75,21.85,light rain
155,Mezen,RU,2022-07-19 02:34:01,65.8522,44.24,60.6,78,100,6.15,overcast clouds
156,Ilulissat,GL,2022-07-19 02:34:01,69.2167,-51.1,46.42,71,75,2.3,broken clouds
157,Kudahuvadhoo,MV,2022-07-19 02:34:02,2.6708,72.8944,82.17,75,100,16.53,overcast clouds
158,Volax,GR,2022-07-19 02:34:02,41.3167,24.0,53.56,69,1,4.88,clear sky
159,Mehamn,NO,2022-07-19 02:34:03,71.0357,27.8492,60.75,72,20,3.44,few clouds
160,Dickinson,US,2022-07-19 02:34:03,29.4608,-95.0513,87.75,80,40,13.8,scattered clouds
161,Willowmore,ZA,2022-07-19 02:34:03,-33.2926,23.4895,49.48,60,43,2.04,scattered clouds
162,Sitka,US,2022-07-19 02:34:04,57.0531,-135.33,55.29,88,100,3.44,overcast clouds
163,New Norfolk,AU,2022-07-19 02:32:48,-42.7826,147.0587,48.92,59,26,1.07,scattered clouds
164,Nogales,MX,2022-07-19 02:34:04,31.3086,-110.9422,81.97,54,75,8.05,broken clouds
165,Ubinskoye,RU,2022-07-19 02:34:05,55.3068,79.6802,63.63,64,66,8.66,broken clouds
166,Xiaoyi,CN,2022-07-19 02:34:05,34.6178,109.703,67.69,95,100,5.7,overcast clouds
167,Tikamgarh,IN,2022-07-19 02:34:06,24.745,78.8333,87.87,62,34,7.43,scattered clouds
168,Berlevag,NO,2022-07-19 02:34:06,70.8578,29.0864,60.8,81,80,5.91,broken clouds
169,Ribeira Grande,PT,2022-07-19 02:34:06,38.5167,-28.7,71.94,91,20,0.63,few clouds
170,Urengoy,RU,2022-07-19 02:31:22,65.9667,78.3667,64.54,54,99,13.06,overcast clouds
171,Talcahuano,CL,2022-07-19 02:34:07,-36.7167,-73.1167,40.68,93,0,8.05,clear sky
172,Jalu,LY,2022-07-19 02:34:07,29.0331,21.5482,76.98,48,0,9.08,clear sky
173,Dingle,PH,2022-07-19 02:34:08,10.9995,122.6711,80.08,85,100,5.82,overcast clouds
174,Port Elizabeth,ZA,2022-07-19 02:34:08,-33.918,25.5701,58.32,96,75,3.44,broken clouds
175,Luderitz,NA,2022-07-19 02:34:09,-26.6481,15.1594,55.63,87,0,10.94,clear sky
176,Iracoubo,GF,2022-07-19 02:34:09,5.4802,-53.2011,78.78,84,99,8.1,overcast clouds
177,Moron,AR,2022-07-19 02:34:10,-34.6534,-58.6198,51.55,57,78,3.89,broken clouds
178,Mangaratiba,BR,2022-07-19 02:34:10,-22.9597,-44.0406,67.06,90,99,3.36,overcast clouds
179,Dikson,RU,2022-07-19 02:33:07,73.5069,80.5464,45.59,79,39,15.5,scattered clouds
180,Ciro Marina,IT,2022-07-19 02:34:11,39.3732,17.126,76.17,63,19,9.28,few clouds
181,Goundam,ML,2022-07-19 02:34:11,16.4145,-3.6708,91.63,41,33,7.38,scattered clouds
182,Matagami,CA,2022-07-19 02:35:12,49.7502,-77.6328,69.91,68,100,23.02,heavy intensity rain
183,Tuktoyaktuk,CA,2022-07-19 02:35:12,69.4541,-133.0374,66.2,77,100,5.75,overcast clouds
184,Portland,US,2022-07-19 02:33:41,45.5234,-122.6762,79.39,50,0,11.5,clear sky
185,Necochea,AR,2022-07-19 02:35:12,-38.5473,-58.7368,40.6,79,100,6.87,overcast clouds
186,Lagoa,PT,2022-07-19 02:35:13,39.05,-27.9833,68.85,88,100,11.03,overcast clouds
187,Mirabad,AF,2022-07-19 02:35:13,30.4362,61.8383,93.52,11,0,14.7,clear sky
188,Jumla,NP,2022-07-19 02:35:14,29.2747,82.1838,69.85,78,80,3.13,broken clouds
189,Hit,IQ,2022-07-19 02:35:14,33.6416,42.8251,91.22,17,0,7.94,clear sky
190,Mkushi,ZM,2022-07-19 02:35:14,-13.6202,29.3939,52.74,81,1,6.85,clear sky
191,Waipawa,NZ,2022-07-19 02:35:15,-41.4122,175.5153,58.23,65,90,10.42,overcast clouds
192,Juybar,IR,2022-07-19 02:35:15,36.6412,52.9124,77.09,65,0,4.88,clear sky
193,Tazovskiy,RU,2022-07-19 02:32:13,67.4667,78.7,59.23,58,19,13.94,few clouds
194,Arica,CL,2022-07-19 02:35:16,-18.475,-70.3042,59.23,77,100,6.91,overcast clouds
195,Ancud,CL,2022-07-19 02:35:16,-41.8697,-73.8203,41.23,83,26,10.36,scattered clouds
196,Portsmouth,GB,2022-07-19 02:31:14,50.799,-1.0913,74.91,80,4,7.0,clear sky
197,Dudinka,RU,2022-07-19 02:35:17,69.4058,86.1778,63.63,44,51,18.28,broken clouds
198,Saskylakh,RU,2022-07-19 02:31:06,71.9167,114.0833,42.69,73,100,16.17,overcast clouds
199,Tonantins,BR,2022-07-19 02:35:17,-2.8731,-67.8022,73.54,98,59,1.81,broken clouds
200,Mangrol,IN,2022-07-19 02:30:24,21.1167,70.1167,80.89,85,100,13.18,overcast clouds
201,Vanimo,PG,2022-07-19 02:35:18,-2.6741,141.3028,80.47,83,89,2.8,overcast clouds
202,Vestmannaeyjar,IS,2022-07-19 02:35:19,63.4427,-20.2734,50.45,91,100,7.47,overcast clouds
203,Chokurdakh,RU,2022-07-19 02:35:19,70.6333,147.9167,48.51,40,26,14.23,scattered clouds
204,Kaeo,NZ,2022-07-19 02:34:41,-35.1,173.7833,62.33,95,100,9.15,overcast clouds
205,Udachnyy,RU,2022-07-19 02:33:58,66.4167,112.4,53.46,93,73,9.84,broken clouds
206,Kirillov,RU,2022-07-19 02:35:20,59.863,38.3813,54.34,97,100,7.96,light rain
207,Riobamba,EC,2022-07-19 02:35:20,-1.6667,-78.6333,51.3,92,100,5.57,overcast clouds
208,Teya,RU,2022-07-19 02:35:21,60.3778,92.6267,55.98,95,100,2.19,overcast clouds
209,Coahuayana,MX,2022-07-19 02:35:21,18.7333,-103.6833,79.07,83,100,1.41,overcast clouds
210,Northam,GB,2022-07-19 02:35:21,51.0333,-4.2167,69.98,48,34,13.51,scattered clouds
211,Asau,RO,2022-07-19 02:35:22,46.4333,26.4,59.95,75,3,4.21,clear sky
212,Grindavik,IS,2022-07-19 02:35:22,63.8424,-22.4338,51.75,100,100,6.91,overcast clouds
213,Cockburn Town,TC,2022-07-19 02:35:23,21.4612,-71.1419,82.36,69,40,10.36,scattered clouds
214,San Marcos,US,2022-07-19 02:31:12,33.1434,-117.1661,84.54,69,0,8.05,clear sky
215,Ostrovnoy,RU,2022-07-19 02:35:23,68.0531,39.5131,57.6,77,63,4.97,broken clouds
216,Saint-Francois,FR,2022-07-19 02:35:24,46.4154,3.9054,60.67,88,0,1.14,clear sky
217,Los Llanos De Aridane,ES,2022-07-19 02:35:24,28.6585,-17.9182,69.55,84,100,12.66,overcast clouds
218,Turbat,PK,2022-07-19 02:35:24,26.0023,63.044,86.0,72,84,3.8,broken clouds
219,Atherton,GB,2022-07-19 02:35:25,53.5237,-2.4935,77.77,55,90,1.99,overcast clouds
220,Liverpool,GB,2022-07-19 02:30:26,53.4106,-2.9779,78.66,56,0,5.75,clear sky
221,Payakumbuh,ID,2022-07-19 02:35:25,-0.2202,100.6308,85.24,50,18,1.28,few clouds
222,Bilma,NE,2022-07-19 02:35:26,18.6853,12.9164,86.0,42,21,6.98,few clouds
223,Codrington,AU,2022-07-19 02:35:26,-38.2667,141.9667,51.94,57,10,9.19,clear sky
224,Bowen,AU,2022-07-19 02:35:27,-20.0167,148.2333,71.89,62,3,12.53,clear sky
225,Progreso,MX,2022-07-19 02:35:27,21.2833,-89.6667,82.51,81,2,13.18,clear sky
226,Den Helder,NL,2022-07-19 02:31:27,52.9599,4.7593,69.98,72,74,7.0,broken clouds
227,Plettenberg Bay,ZA,2022-07-19 02:35:28,-34.0527,23.3716,60.19,85,97,2.59,overcast clouds
228,Sioux Lookout,CA,2022-07-19 02:35:28,50.1001,-91.917,69.87,83,20,0.0,smoke
229,Beringovskiy,RU,2022-07-19 02:36:29,63.05,179.3167,56.1,50,39,20.09,scattered clouds
230,Geraldton,AU,2022-07-19 02:36:29,-28.7667,114.6,61.21,77,0,12.66,clear sky
231,Bhachau,IN,2022-07-19 02:36:29,23.2833,70.35,83.12,77,92,10.33,overcast clouds
232,Mogadishu,SO,2022-07-19 02:35:31,2.0371,45.3438,74.93,82,67,19.33,light rain
233,Omboue,GA,2022-07-19 02:36:30,-1.5746,9.2618,71.31,86,100,6.98,overcast clouds
234,Lebu,CL,2022-07-19 02:36:30,-37.6167,-73.65,43.66,80,76,2.62,broken clouds
235,Vagay,RU,2022-07-19 02:36:30,57.9375,69.0217,68.74,57,3,4.5,clear sky
236,Palmerston,AU,2022-07-19 02:36:31,-12.486,130.9833,85.93,45,0,4.61,clear sky
237,Kirakira,SB,2022-07-19 02:36:31,-10.4544,161.9205,83.66,70,24,6.73,few clouds
238,Leningradskiy,RU,2022-07-19 02:36:31,69.3833,178.4167,34.48,99,100,15.48,light snow
239,Longyearbyen,SJ,2022-07-19 02:36:32,78.2186,15.6401,53.44,66,75,11.5,broken clouds
240,Qaanaaq,GL,2022-07-19 02:36:32,77.484,-69.3632,42.42,69,16,2.21,few clouds
241,Boende,CD,2022-07-19 02:36:32,-0.2167,20.8667,69.76,98,100,1.99,overcast clouds
242,Trairi,BR,2022-07-19 02:36:18,-3.2778,-39.2689,76.41,83,37,9.28,scattered clouds
243,Kruisfontein,ZA,2022-07-19 02:36:33,-34.0033,24.7314,53.89,92,50,4.43,scattered clouds
244,Faanui,PF,2022-07-19 02:36:33,-16.4833,-151.75,76.55,72,2,6.55,clear sky
245,San Cristobal,VE,2022-07-19 02:33:45,7.7669,-72.225,69.98,84,99,2.33,overcast clouds
246,Rodrigues Alves,BR,2022-07-19 02:36:34,-7.738,-72.6509,71.56,99,99,1.68,overcast clouds
247,Julio De Castilhos,BR,2022-07-19 02:36:34,-29.2269,-53.6817,50.52,83,100,6.44,light rain
248,Ixtapa,MX,2022-07-19 02:36:35,20.7,-105.2,81.63,69,100,3.44,overcast clouds
249,Pangody,RU,2022-07-19 02:36:35,65.85,74.4859,66.2,48,27,9.73,scattered clouds
250,Sao Pedro Do Sul,BR,2022-07-19 02:36:35,-29.6206,-54.1789,47.05,86,84,4.41,broken clouds
251,Abalak,RU,2022-07-19 02:36:36,58.1286,68.5944,68.5,60,1,4.99,clear sky
252,Abasolo,MX,2022-07-19 02:36:36,20.45,-101.5167,57.54,97,100,6.85,overcast clouds
253,Xiaoshi,CN,2022-07-19 02:36:36,41.2971,124.1209,81.54,57,6,7.61,clear sky
254,Sao Jose Da Coroa Grande,BR,2022-07-19 02:36:37,-8.8978,-35.1478,74.21,83,58,11.14,broken clouds
255,Tasiilaq,GL,2022-07-19 02:36:37,65.6145,-37.6368,35.76,87,10,1.54,clear sky
256,Roma,US,2022-07-19 02:32:42,43.2128,-75.4557,71.96,93,100,12.66,light rain
257,Wakkanai,JP,2022-07-19 02:36:37,45.4094,141.6739,73.38,68,20,8.05,few clouds
258,Puerto Escondido,MX,2022-07-19 02:36:38,15.85,-97.0667,80.82,81,12,3.71,few clouds
259,Lima,PE,2022-07-19 02:33:07,-12.0432,-77.0282,59.9,86,100,12.66,mist
260,Chiredzi,ZW,2022-07-19 02:36:38,-21.05,31.6667,63.84,76,89,2.91,overcast clouds
261,Solton,RU,2022-07-19 02:36:39,52.8429,86.4787,56.93,92,94,8.77,overcast clouds
